,viruses,fungi,metazoa,bacteria,viridiplantae,archaea
1980,0,0,0,0,0,0
1981,0,0,0,0,0,0
1982,0,0,0,0,0,0
1983,0,0,0,0,0,0
1984,0,0,0,0,0,0
1985,0,0,0,0,0,0
1986,0,0,0,0,0,0
1987,0,0,0,0,0,0
1988,0,0,0,0,0,0
1989,0,0,0,0,0,0
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,63,0,0,0,0,0
1994,72,0,0,0,0,0
1995,86,0,0,0,0,0
1996,94,0,0,0,0,0
1997,116,0,0,0,0,0
1998,166,0,0,0,0,0
1999,198,0,0,4,0,3
2000,627,0,0,4,0,3
2001,756,1,0,11,0,4
2002,1199,1,0,28,0,9
2003,1500,1,0,76,0,12
2004,1805,4,0,145,0,18
2005,2931,6,0,214,0,21
2006,4481,6,2,336,0,31
2007,5968,7,2,498,1,46
2008,7295,9,2,661,1,51
2009,9937,15,2,928,2,66
2010,13742,18,2,1263,2,89
2011,16659,38,3,1713,5,118
2012,20527,49,4,2176,7,148
2013,26691,54,7,2724,10,166
2014,32621,71,14,3316,19,183
2015,38286,79,16,3959,23,230
2016,47942,114,21,4943,31,253
2017,57943,213,39,5952,45,284
2018,60822,233,57,7065,68,301
2019,65145,267,161,8353,114,342
2020,71033,301,322,9973,201,380
2021,74895,358,683,11667,337,447
2022,79143,430,1311,13494,508,531
2023,85091,520,2269,15435,783,614
2024,86219,634,3550,18480,1196,669
2025,86220,641,3661,18617,1235,672
