,viruses,metazoa,fungi,bacteria,archaea,viridiplantae
1980,0,0,0,0,0,0
1981,0,0,0,0,0,0
1982,0,0,0,0,0,0
1983,0,0,0,0,0,0
1984,0,0,0,0,0,0
1985,0,0,0,0,0,0
1986,0,0,0,0,0,0
1987,0,0,0,0,0,0
1988,0,0,0,0,0,0
1989,0,0,0,0,0,0
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,376,0,0,0,0,0
1994,425,0,0,0,0,0
1995,508,0,0,0,0,0
1996,577,0,0,0,0,0
1997,683,0,0,0,0,0
1998,839,0,0,0,0,0
1999,968,0,0,5,3,0
2000,1196,0,0,6,3,0
2001,1417,0,1,14,4,0
2002,1678,0,1,32,10,0
2003,2075,0,1,80,13,0
2004,2397,2,4,152,19,2
2005,3644,2,6,221,22,2
2006,5280,8,6,347,32,2
2007,6869,12,8,510,47,3
2008,8286,13,12,673,52,3
2009,11035,17,18,946,67,5
2010,15033,20,21,1286,90,8
2011,18259,25,41,1744,119,10
2012,22382,30,52,2211,149,14
2013,28769,35,57,2770,167,20
2014,34794,47,73,3435,187,35
2015,40918,54,81,4169,233,45
2016,51317,66,117,5244,259,54
2017,61044,91,217,6341,289,76
2018,64518,115,240,7474,305,105
2019,68838,229,274,8771,345,157
2020,74274,403,309,10330,384,263
2021,78387,765,370,11927,451,396
2022,82765,1382,437,13688,534,564
2023,85092,2327,524,15592,615,823
2024,86219,3554,635,18483,669,1201
2025,86220,3661,641,18617,672,1235
