bion_id,Properties,property_type,property_of,Organism,value,min_value,max_value,Units,standardized_value,standardized_min,standardized_max,category,original_value,original_range
105143,Capsid diameter of largest known virus,Capsid diameter,largest known virus,Acanthamoeba polyphaga Mimivirus,500.0,,,nm,5.000000000000001e-07,,,Other,500,
109094,Diameter of glial soma,Diameter,glial soma,African Elephant Loxodonta africana,5.1,3.9,6.8,Î¼m,5.0999999999999995e-06,3.9e-06,6.799999999999999e-06,Other,5.1,'3.9 to 6.8
109093,Diameter of amacrine cell,Diameter,amacrine cell,African Elephant Loxodonta africana,10.9,7.2,14.8,Î¼m,1.09e-05,7.2e-06,1.48e-05,Cells,10.9,'7.2 to 14.8
109092,Diameter of retinal ganglion cell,Diameter,retinal ganglion cell,African Elephant Loxodonta africana,26.5,14.0,65.0,Î¼m,2.65e-05,1.4e-05,6.5e-05,Cells,26.5,'14 to 65
101401,Volume of Nuclei in kidney tissue,Volume,Nuclei in kidney tissue,African Green monkey (CVI),421.0,,,µm^3,4.2100000000000004e-16,,,Nuclei,421,
104250,Radius of diffusion channel of nuclear pore complex NPC,Radius,diffusion channel of nuclear pore complex NPC,African clawed frog Xenopus laevis,5.35,4.4,6.1,nm,5.35e-09,4.4000000000000005e-09,6.1e-09,Nuclei,5.35,'4.4-6.1
104251,Length of diffusion channel of nuclear pore complex NPC,Length,diffusion channel of nuclear pore complex NPC,African clawed frog Xenopus laevis,44.5,40.0,50.0,nm,4.45e-08,4e-08,5.0000000000000004e-08,Nuclei,44.5,'40-50
100501,Diameter of the egg of the frog Xenopus laevis,Diameter,the egg of the frog Xenopus laevis,African clawed frog Xenopus laevis,1.15,1.0,1.3,mm,0.00115,0.001,0.0013000000000000002,Other,1.15,'1 to 1.3 Table link - http://bionumbers.hms.harvard.edu/files/Comparison%20of%20Properties%20Between%20Xenopus%20tropicalis%20and%20Xenopus%20laevis.pdf
101663,Diameter of xenopus oocyte,Diameter,xenopus oocyte,African clawed frog Xenopus laevis,,1.2,1.3,mm,,0.0012,0.0013000000000000002,Other,,'1.2-1.3
100234,Genome Size,Size,genome,African clawed frog Xenopus laevis,3100000000.0,,,Base pairs,3100000000.0,,,Other,3100000000,
100302,Nuclear volume of a stage VI Xenopus laevis oocyte,Nuclear volume,a stage VI Xenopus laevis oocyte,African clawed frog Xenopus laevis,40.0,,,nL,4.0000000000000004e-11,,,Nuclei,40,
101408,Volume of Nucleus in heart tissue,Volume,Nucleus in heart tissue,African clawed frog Xenopus laevis,307.0,,,µm^3,3.07e-16,,,Nuclei,307,
101409,Volume of nuclei in kidney tissue,Volume,nuclei in kidney tissue,African clawed frog Xenopus laevis,294.0,,,µm^3,2.9400000000000004e-16,,,Nuclei,294,
102924,Red blood cell diameter,Diameter,red blood cell,African clawed frog Xenopus laevis,14.7,,,µm,1.4699999999999998e-05,,,Cells,14.7,
106735,Volume of oocyte,Volume,oocyte,African clawed frog Xenopus laevis,1.0,,,Î¼L,1e-09,,,Other,1,
110505,Diameter of Cajal body,Diameter,Cajal body,African clawed frog Xenopus laevis,,,,µm,,,,Other,,'â¤10
