bion_id,Properties,property_type,property_of,Organism,value,min_value,max_value,Units,standardized_value,standardized_min,standardized_max,category,original_value,original_range
103778,"""Rule of thumb"" for DNA volume per base pair","""Rule of thumb""",""" for dna volume per base pai",Generic,1.0,,,nm^3,1e-27,,,DNA/RNA structures,1,
101828,"""Rule of thumb"" for the Volume of ""Average"" Protein","""Rule of thumb""",""" for the volume of ""average"" protein",Unspecified,25.0,,,nm^3,2.5e-26,,,Small molecules & proteins,25,
101788,"""Rule of thumb"" for cell volume","""Rule of thumb""",""" for cell volume",Bacteria Escherichia coli,1.0,,,µm^3,1e-18,,,Cells,1,
101794,"""Rule of thumb"" for cell volume","""Rule of thumb""",""" for cell volume",Budding yeast Saccharomyces cerevisiae,60.0,,,µm^3,6e-17,,,Cells,60,
110456,Absolute and relative volume of several organelles,Absolute and relative volume,several organelles,Green algae Chlamydomonas reinhardtii,,,,,,,,Cell organelles,,'Table link - http://bionumbers.hms.harvard.edu/files/Absolute%20and%20relative%20volume%20of%20several%20specimen%20organelles.pdf
107669,"Adipocyte volume, insulin binding, internalization and degradation and insulin receptor down-regulation in adipocytes","Adipocyte volume, insulin binding, internalization and degradation and insulin receptor down-regulation in adipocytes",,Rat Rattus norvegicus,,,,,,,,DNA/RNA structures,,'Table link - http://bionumbers.hms.harvard.edu/files/ADIPOCYTE%20VOLUME%2C%20INSULIN%20BINDING%2C%20INTERNALIZATION%20AND%20DEGRADATION%20AND%20INSULIN%20RECEPTOR%20DOWN-REGULATION%20IN%20ADIPOCYTES.pdf
112196,Amino acid residue volumes,Amino acid residue volumes,,Generic,,,,10^-3×nm^3,,,,Small molecules & proteins,,'Table link - http://bionumbers.hms.harvard.edu/files/Amino%20acid%20residue%20volumes.pdf
111362,Approximate volume of nuclear pore complex transporter region,Approximate volume,nuclear pore complex transporter region,Budding yeast Saccharomyces cerevisiae,30000.0,,,nm^3,3e-23,,,Nuclei,30000,
110736,"Areas and volumes of erythrocytes from embryonic chick, chicken and human fetus and adult",Areas and volumes,"erythrocytes from embryonic chick, chicken and human fetus and adult",vertebrates,,,,,,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Areas%20and%20volumes%20of%20erythrocytes%20from%20embryonic%20chick%2C%20chicken%20and%20human%20fetus%20and%20adult.pdf
114948,Average cell volume of adult (at 120 min of growth),Average cell volume,adult (at 120 min of growth),Budding yeast Saccharomyces cerevisiae,67.5,,,µm^3,6.75e-17,,,Cells,67.5,
102283,Average volume of actin patch,Average volume,actin patch,Fission yeast Schizosaccharomyces pombe,0.0082,,,Î¼m^3,8.200000000000001e-21,,,Other,0.0082,
102278,Average volume of asynchronous cell,Average volume,asynchronous cell,Fission yeast Schizosaccharomyces pombe,92.0,,,Î¼m^3,9.2e-17,,,Cells,92,
109386,Average volume of typical 3 day old HeLa cell,Average volume,typical 3 day old HeLa cell,Human Homo sapiens,2600.0,,,Î¼m^3,2.6e-15,,,Cells,2600,
108502,Average volume of a subsurface prokaryotic cell,Average volume,a subsurface prokaryotic cell,prokaryote,1.07,,,cm^3,1.07e-06,,,Cells,1.07E-12,
114041,Calculated relative changes in glacier ice volume between about 2010 and 2100 for selected regions based on different studies,Calculated relative changes in glacier ice volume between about 2010 and 2100 for selected regions based on different studies,,Biosphere,,,,,,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Calculated%20Relative%20Changes%20in%20Glacier%20Ice%20Volume%20Between%20About%202010%20and%202100%20for%20Selected%20Regions%20Based%20on%20Different%20Studies.pdf
115335,Carbon per cell in volume range 0.036 to 0.073µm^3,Carbon per cell in volume range 0.036 to 0.073µm^3,,Bacteria Escherichia coli,,13.0,19.0,fg C/cell,,13.0,19.0,Cells,,'(Lee and Fuhrman 1987) 20 fg C/cell: (present study) 13 - 19
108423,Cell dimensions and cell volumes for B. subtilis and S. aureus,Cell dimensions and cell volumes for B. subtilis and S. aureus,,bacteria,,,,,,,,Cells,,'Table link - http://tinyurl.com/bnr75vl
107839,"Cell size, volume of cytoplasm and vacuoles in root cap and cortex","Cell size, volume",cytoplasm and vacuoles in root cap and cortex,Plant Cucurbita pepo,,,,,,,,Cell organelles,,'Table link - http://bionumbers.hms.harvard.edu/files/Cell%20size%2C%20volume%20of%20cytoplasm%20and%20vacuoles%20in%20root%20cap%20and%20cortex.pdf
108618,"Cell size, volume, and percent dividing cells during growth phases 2 and 3 of E. coli B in the maintenance fermentor","Cell size, volume, and percent dividing cells during growth phases 2 and 3",E. coli B in the maintenance fermentor,Bacteria Escherichia coli,,,,,,,,Cells,,'Table link - http://bionumbers.hms.harvard.edu/files/Cell%20size%2C%20volume%2C%20and%20percent%20dividing%20cells%20during%20growth%20phases%202%20and%203%20of%20E.%20coli%20B%20in%20the%20maintenance%20fermentor.pdf
117300,Cell volume of oceanic Synechococcus,Cell volume,oceanic Synechococcus,Cyanobacteria,0.49,,,cubic micrometers,0.49,,,Cells,0.49,
105117,Cell volume of marine picoplankton collected in Alaska and North Sea,Cell volume,marine picoplankton collected in Alaska and North Sea,Bacterioplankton,,0.042,0.074,µm^3,,4.2000000000000004e-20,7.4e-20,Cells,,'0.042-0.074
114961,Cell volume at cell division,Cell volume at cell division,,Fission yeast Schizosaccharomyces pombe,,,,µm^3,,,,Cells,,'at 25ËC 129µm^3: at 35ËC 149µm^3
114962,Cell volume at log phase,Cell volume at log phase,,Tetrahymena pyriformis (GL),7500.0,,,µm^3,7.500000000000001e-15,,,Cells,7500,
109355,Cell volume at Î¼=0.11h^-1,Cell volume at Î¼=0.11h^-1,,Bacteria Escherichia coli,0.73,,,fL,0.73,,,Cells,0.73,'Excel table link - http://bionumbers.hms.harvard.edu/files/Growth%20parameters.xlsx
109356,Cell volume at Î¼=0.21h^-1,Cell volume at Î¼=0.21h^-1,,Bacteria Escherichia coli,0.91,,,fL,0.91,,,Cells,0.91,'Excel table link - http://bionumbers.hms.harvard.edu/files/Growth%20parameters.xlsx
109357,Cell volume at Î¼=0.31h^-1,Cell volume at Î¼=0.31h^-1,,Bacteria Escherichia coli,1.22,,,fL,1.22,,,Cells,1.22,'Excel table link - http://bionumbers.hms.harvard.edu/files/Growth%20parameters.xlsx
109358,Cell volume at Î¼=0.40h^-1,Cell volume at Î¼=0.40h^-1,,Bacteria Escherichia coli,1.46,,,fL,1.46,,,Cells,1.46,'Excel table link - http://bionumbers.hms.harvard.edu/files/Growth%20parameters.xlsx
109359,Cell volume at Î¼=0.49h^-1,Cell volume at Î¼=0.49h^-1,,Bacteria Escherichia coli,1.69,,,fL,1.69,,,Cells,1.69,'Excel table link - http://bionumbers.hms.harvard.edu/files/Growth%20parameters.xlsx
103710,Cell volume average,Cell volume average,,Bacteria Escherichia coli,,,,µm^3,,,,Cells,,'0.58 strain K-12 WP2s: 0.69 strain 15-THU
110041,Cell volume in exponential culture,Cell volume in exponential culture,,Bacteria Escherichia coli,,,,Î¼m^3,,,,Cells,,'glucose minimal medium 0.83Î¼m^3: glucose amino acids medium 1.12Î¼m^3
115344,"Cell volumes of microorganisms commonly found in natural environments such as soils, freshwater lakes and rivers, estuarine and brackish waters, coastal and nearshore marine waters, or pelagic marine waters",Cell volumes,"microorganisms commonly found in natural environments such as soils, freshwater lakes and rivers, estuarine and brackish waters, coastal and nearshore marine waters, or pelagic marine waters",Microbes,,0.05,0.5,µm^3,,5.0000000000000005e-20,5e-19,Tissues & organs,,'0.05 - 0.5
112160,"Cell volumes, (total mRNA when available) and total proteins per cell","Cell volumes, (total mRNA when available) and total proteins per cell",,Various,,,,,,,,Small molecules & proteins,,'Table link - http://bionumbers.hms.harvard.edu/files/Cell%20volumes%20and%20total%20proteins%20per%20cell.pdf
103198,Cerebellum proportion out of central nervous system (by volume),Cerebellum proportion out,central nervous system (by volume),Human Homo sapiens,10.0,,,Percent,10.0,,,Other,10,
103199,Cerebellum proportion out of central nervous system (by volume),Cerebellum proportion out,central nervous system (by volume),Rat Rattus norvegicus,10.0,,,%,10.0,,,Other,10,
103201,Cerebral cortex proportion out of central nervous system (by volume),Cerebral cortex proportion out,central nervous system (by volume),Rat Rattus norvegicus,31.0,,,%,31.0,,,Other,31,
103195,Cerebral cortex proportion out of central nervous system (by volume),Cerebral cortex proportion out,central nervous system (by volume),Human Homo sapiens,77.0,,,%,77.0,,,Other,77,
110347,Change in volume of guard cells during stomatal movement,Change in volume,guard cells during stomatal movement,Broadbean Vicia faba,,,,%,,,,Cells,,'>40
109096,Circulating blood volumes of healthy adult animals,Circulating blood volumes,healthy adult animals,Mammals,,,,ml/kg,,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Circulating%20Blood%20Volumes%20of%20Healthy%20Adult%20Animals.pdf
104463,Colony volume at pH 5.25,Colony volume at pH 5.25,,Bacteria Salmonella typhimurium,3.08,,,µm^3,3.08e-18,,,Cells,3.08,'±1.134 table link - http://bionumbers.hms.harvard.edu/files/(log%20transformed)%20cell%20density%20and%20colony%20volume.pdf
108229,Comparative compilation of carbon-to-volume conversion factors from different sources,Comparative compilation,carbon-to-volume conversion factors from different sources,Microbes,,,,pgC/Î¼m^3,,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Comparative%20compilation%20of%20carbon-to-volume%20conversion%20factors%20from%20different%20sources.pdf
107606,"Comparison among cell volumes of 11 microorganisms, obtained with the CC and by SEM and TEM",Comparison among cell volumes,"11 microorganisms, obtained with the CC and by SEM and TEM",Microbes,,,,Î¼m^3,,,,Tissues & organs,,'Table link - http://bionumbers.hms.harvard.edu/files/Comparison%20among%20cell%20volumes%20of%2011%20microorganisms%2C%20obtained%20with%20the%20CC%20and%20by%20SEM%20and%20TEM.pdf
106664,Cytoplasmic volume of HeLa cell,Cytoplasmic volume,HeLa cell,Human Homo sapiens,940.0,,,µm^3,9.4e-16,,,Cell organelles,940,'Table link - http://bionumbers.hms.harvard.edu/files/HeLa%20and%20COS7%20cell%20and%20nucleus'%20diameter%20and%20volume.pdf
106662,Cytoplasmic volume of COS-7 cell,Cytoplasmic volume,COS-7 cell,Mammalian tissue culture cell,2400.0,,,µm^3,2.4000000000000003e-15,,,Cell organelles,2400,'Table link - http://bionumbers.hms.harvard.edu/files/HeLa%20and%20COS7%20cell%20and%20nucleus'%20diameter%20and%20volume.pdf
110674,Diameter of volume within which chromatin loci diffuse,Diameter,volume within which chromatin loci diffuse,Budding yeast Saccharomyces cerevisiae,,,,µm,,,,DNA/RNA structures,,'~0.5
111788,Lymphocyte volume and diameter,Diameter,lymphocyte volume and,Human Homo sapiens,,,,,,,,Other,,'volume 206±14.4µm^3 diameter 7.3µm Table link - http://bionumbers.hms.harvard.edu/files/Lymphocyte%20volumes%20(fL)%20and%20diameters%20(um)%20of%20normal%20subjects%20and%20patients%20with%20chronic%20lymphocytic%20leukemia.pdf
104072,Diameter and Volume of the eyeball in Selected Animals,Diameter and Volume,the eyeball in Selected Animals,Eukaryotes,,,,,,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Diameter%20and%20Volume%20of%20the%20eyeball%20in%20Selected%20Animals.pdf
104990,Diameter and volume of cells and nuclei of HeLa and COS7 cell,Diameter and volume,cells and nuclei of HeLa and COS7 cell,Mammalian tissue culture cell,,,,,,,,Nuclei,,'Table link - http://bionumbers.hms.harvard.edu/files/HeLa%20and%20COS7%20cell%20and%20nucleus'%20diameter%20and%20volume.pdf
103197,Diencephalon proportion out of central nervous system (by volume),Diencephalon proportion out,central nervous system (by volume),Human Homo sapiens,4.0,,,%,4.0,,,Other,4,
115570,Dimensions of newly divided cells and cell volume,Dimensions,newly divided cells and cell volume,Bacteria Pelagibacter ubique,,,,,,,,Cells,,'dimensions of newly divided cells ~0.2Î¼m by 0.4Î¼m: cell volume 0.01Î¼m^3
110466,Diploid cell volumes in the different cell cycle stages,Diploid cell volumes in the different cell cycle stages,,Budding yeast Saccharomyces cerevisiae,,20.0,60.0,µm^3,,2e-17,6e-17,Cells,,'G1 phase 20-60µm^3: S phase 30-80µm^3: G2 phase 50-140µm^3: M phase 70-140µm^3
106133,Division of cerebral cortex by volume,Division,cerebral cortex by volume,Mouse Mus musculus,,,,%,,,,Other,,'Axons 29.3: dendrites 30.2: ds 12.06: glia 9.5: cell bodies and blood vessels 13.8: ex 5.2
104001,E. coli cell volume in stationary and exponential phase,E. coli cell volume in stationary and exponential phase,,Bacteria Escherichia coli,,,,,,,,Cells,,'Table link - http://bionumbers.hms.harvard.edu/files/E.%20coli%20cell%20volume%20in%20different%20media%20in%20stationary%20and%20exponential%20phase.pdf
104383,Endosome volume 75 minutes after internalization with polyamidoamine (PAM),Endosome volume 75 minutes after internalization with polyamidoamine (PAM),,Chinese hamster ovary (CHO),3.2,,,µm^3,3.2000000000000003e-18,,,DNA/RNA structures,3.2,
104384,Endosome volume 75 minutes after internalization with polylysine (POL),Endosome volume 75 minutes after internalization with polylysine (POL),,Chinese hamster ovary (CHO),1.1,,,µm^3,1.1000000000000001e-18,,,DNA/RNA structures,1.1,
115197,Eosinophil volume distribution,Eosinophil volume distribution,,Human Homo sapiens,,,,%,,,,Other,,'nucleus 17.9%: granules 23.0%: mitochondria 0.7%: cytoplasm 58.4
109037,Estimated percent of cell volume taken up by a wide variety of large biomolecules,Estimated percent,cell volume taken up by a wide variety of large biomolecules,Unspecified,,30.0,50.0,%,,30.0,50.0,Small molecules & proteins,,'30 to 50
117139,Estimated volume of water flow through an adult OHC (outer hair cell),Estimated volume,water flow through an adult OHC (outer hair cell),Rat Rattus norvegicus,,,,cm^2/sec,,,,Cells,,'~0.01
108473,Estimations of periplasmic volume from distributions of different solutes in suspensions of Salmonella typhimurium LT2,Estimations,periplasmic volume from distributions of different solutes in suspensions of Salmonella typhimurium LT2,Bacteria Salmonella typhimurium,,,,,,,,Cell organelles,,'Table link - http://bionumbers.hms.harvard.edu/files/Estimations%20of%20periplasmic%20volume%20from%20distributions%20of%20different%20solutes%20in%20suspensions%20of%20Salmonella%20typhimurium%20LT2.pdf
113047,Extracellular Fluid Volume (ECV),Extracellular Fluid Volume (ECV),,Birds,,,,% of body weight,,,,Cells,,'ducks maintained on fresh water 24.9: ducks maintained on salt water 26.4: gulls 38.2: roosters 28.8
110519,Fill volumes of mouse and rat stomach,Fill volumes,mouse and rat stomach,Rodent,,,,mL,,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Fill%20volumes%20of%20mouse%20and%20rat%20stomach.pdf
