Year,NumberOfTrials,MeanEnrollment
2000,32,190.740740740741
2001,43,140.864864864865
2002,49,90.0869565217391
2003,64,136.737704918033
2004,100,97.0309278350515
2005,114,76.719298245614
2006,144,269.230769230769
2007,157,113.796178343949
2008,185,94.9351351351351
2009,239,117.443514644351
2010,241,130.186721991701
2011,303,104.478547854785
2012,355,88.7295774647887
2013,428,105.364485981308
2014,570,122.99649122807
2015,742,104.161725067385
2016,935,109.259893048128
2017,1938,299.63209494324
2018,1946,119.646454265159
2019,1859,114.968800430339
2020,1792,113.228794642857
2021,1957,112.396014307614
2022,1794,253.432552954292
2023,1805,117.524099722992
2024,1921,133.804268610099
