assembly_accession,assembly_name,organism_name,organism_taxonomic_id,assembly_release_date,assembly_release_year,checkm_completeness,checkm_completeness_percentile,checkm_contamination,checkm_version,checkm_marker_count,collection_date
GCA_964197645.1,icAbaPara2.1,Abax parallelepipedus,102642,2024-07-03,2024,,,,,,2025-01-26
GCA_964212075.1,iyAbiCand1.1,Abia candens,362089,2024-08-03,2024,,,,,,2025-01-26
GCA_022829085.1,ASM2282908v1,Abramis brama,38527,2022-04-08,2022,,,,,,2025-01-26
GCA_964187985.1,ilAbrSylv1.hap1.1,Abraxas sylvata,190335,2024-06-21,2024,,,,,,2025-01-26
GCA_905340225.1,ilAbrTrip1.1,Abrostola tripartita,938171,2021-03-25,2021,,,,,,2025-01-26
GCA_946251915.1,ilAbrTril1.1,Abrostola triplasia,254365,2022-09-12,2022,,,,,,2025-01-26
GCA_034766995.1,ASM3476699v1,Acanthacorydalis orientalis,1449960,2023-12-29,2023,,,,,,2025-01-26
GCA_016904835.1,bAcaChl1.pri,Acanthisitta chloris,57068,2021-02-17,2021,,,,,,2025-01-26
GCA_046563165.1,ASM4656316v1,Acanthocheilonema viteae,6277,2025-01-08,2025,,,,,,2025-01-26
GCA_045838495.1,OUC_Aru_1.0,Acanthochitona rubrolineata,761904,2024-12-09,2024,,,,,,2025-01-26
GCF_021347895.1,KAUST_Apoly_ChrSc,Acanthochromis polyacanthus,80966,2022-01-11,2022,,,,,,2025-01-26
GCA_031841125.1,ASM3184112v1,Acanthococcus lagerstroemiae,2838189,2023-09-25,2023,,,,,,2025-01-26
GCF_904848185.1,fAcaLat1.1,Acanthopagrus latus,8177,2020-10-12,2020,,,,,,2025-01-26
GCA_041753875.1,ASM4175387v1,Acanthopagrus schlegelii,72011,2024-09-05,2024,,,,,,2025-01-26
GCA_930367205.1,ihAcaHaem1.1,Acanthosoma haemorrhoidale,483950,2022-02-13,2022,,,,,,2025-01-26
GCF_929443795.1,bAccGen1.1,Accipiter gentilis,8957,2022-02-09,2022,,,,,,2025-01-26
GCA_046127185.1,Aguhap1,Accipiter gularis,258530,2024-12-18,2024,,,,,,2025-01-26
GCA_943193645.1,ilAceEphe1.1,Acentria ephemerella,1666818,2022-06-10,2022,,,,,,2025-01-26
GCA_034509495.1,ASM3450949v1,Acestrorhynchus altus,639287,2023-12-26,2023,,,,,,2025-01-26
GCA_009760885.1,ASM976088v1,Achatina immaculata,2605667,2019-12-17,2019,,,,,,2025-01-26
GCA_041274885.1,A_YUNNAN,Achelura yunnanensis,2871086,2024-07-24,2024,,,,,,2025-01-26
GCA_947623365.1,ilAchFlav2.1,Achlya flavicornis,753485,2022-12-19,2022,,,,,,2025-01-26
GCA_949317995.1,wpAchSqua1.1,Acholoe squamosa,2922911,2023-04-04,2023,,,,,,2025-01-26
GCF_027475565.1,VMU_Ajub_asm_v1.0,Acinonyx jubatus,32536,2022-12-28,2022,,,,,,2025-01-26
GCA_030684275.1,Acipenser_oxyrinchus.AOXY1.1,Acipenser oxyrinchus oxyrinchus,40147,2023-08-08,2023,,,,,,2025-01-26
GCF_902713425.1,fAciRut3.2 maternal haplotype,Acipenser ruthenus,7906,2022-02-02,2022,,,,,,2025-01-26
GCA_948252455.1,ilAclCris2.1,Acleris cristana,758705,2023-01-18,2023,,,,,,2025-01-26
GCA_927399475.2,ilAclEmar1.2,Acleris emargana,758706,2022-10-25,2022,,,,,,2025-01-26
