assembly_accession,assembly_name,organism_name,organism_taxonomic_id,assembly_release_date,assembly_release_year,checkm_completeness,checkm_completeness_percentile,checkm_contamination,checkm_version,checkm_marker_count,collection_date
GCA_000008745.1,ASM874v1,Chlamydia pneumoniae CWL029,115713,1999-12-22,1999,98.34,81.25,0.3,v1.2.3,,2025-01-27
GCA_000027305.1,ASM2730v1,Haemophilus influenzae Rd KW20,71421,1999-12-22,1999,96.39,4.820513,0.02,v1.2.2,,2025-01-27
GCF_000008525.1,ASM852v1,Helicobacter pylori 26695,85962,1999-12-22,1999,97.64,6.7484665,,v1.2.2,,2025-01-27
GCA_000008605.1,ASM860v1,Treponema pallidum subsp. pallidum str. Nichols,243276,1999-12-22,1999,98.33,22.685184,1.43,v1.2.3,,2025-01-27
GCA_000008625.1,ASM862v1,Aquifex aeolicus VF5,224324,1999-12-22,1999,98.35,100.0,0.84,v1.2.2,,2025-01-27
GCF_000008565.1,ASM856v1,Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539,243230,2000-12-11,2000,97.17,55.555557,0.19,v1.2.2,,2025-01-27
GCA_000091085.2,ASM9108v2,Chlamydia pneumoniae AR39,115711,2001-01-09,2001,98.49,100.0,0.27,v1.2.3,,2025-01-27
GCA_000006865.1,ASM686v1,Lactococcus lactis subsp. lactis Il1403,272623,2001-03-21,2001,98.45,22.701689,0.08,v1.2.3,,2025-01-27
GCF_000008545.1,ASM854v1,Thermotoga maritima MSB8,243274,2001-01-09,2001,98.68,16.666666,,v1.2.2,,2025-01-27
GCF_000008785.1,ASM878v1,Helicobacter pylori J99,85963,2001-01-09,2001,99.16,76.91434,,v1.2.2,,2025-01-27
GCA_000006825.1,ASM682v1,Pasteurella multocida subsp. multocida str. Pm70,272843,2001-03-21,2001,99.21,99.48784,0.72,v1.2.3,,2025-01-27
GCF_000007125.1,ASM712v1,Brucella melitensis bv. 1 str. 16M,224914,2001-12-28,2001,97.21,7.024266,0.58,v1.2.2,,2025-01-27
GCF_000008725.1,ASM872v1,Chlamydia trachomatis D/UW-3/CX,272561,2001-01-09,2001,98.98,91.489365,2.22,v1.2.3,,2025-01-27
GCF_000006745.1,ASM674v1,Vibrio cholerae O1 biovar El Tor str. N16961,243277,2001-01-09,2001,97.79,14.117213,0.24,v1.2.3,,2025-01-27
GCA_000007365.1,ASM736v1,Buchnera aphidicola str. Sg (Schizaphis graminum),198804,2002-07-02,2002,99.19,83.941605,0.08,v1.2.3,,2025-01-27
GCF_000007645.1,ASM764v1,Staphylococcus epidermidis ATCC 12228,176280,2002-12-20,2002,99.69,95.3304,,v1.2.2,,2025-01-27
GCA_000006905.1,ASM690v1,Caulobacter vibrioides CB15,190650,2002-03-06,2002,99.51,90.0,1.54,v1.2.2,,2025-01-27
GCA_000007025.1,ASM702v1,Rickettsia conorii str. Malish 7,272944,2002-11-25,2002,99.86,100.0,0.23,v1.2.3,,2025-01-27
GCA_000007145.1,ASM714v1,Xanthomonas campestris pv. campestris str. ATCC 33913,190485,2002-05-24,2002,98.67,39.050133,0.77,v1.2.2,,2025-01-27
GCA_000007265.1,ASM726v1,Streptococcus agalactiae 2603V/R,208435,2002-08-28,2002,99.55,83.16389,0.13,v1.2.3,,2025-01-27
GCA_000007165.1,ASM716v1,Xanthomonas citri pv. citri str. 306,190486,2002-05-29,2002,98.86,58.92857,0.37,v1.2.2,,2025-01-27
GCF_000007425.1,ASM742v1,Streptococcus pyogenes MGAS315,198466,2002-07-18,2002,99.24,43.12765,,v1.2.3,,2025-01-27
GCF_000007285.1,ASM728v1,Streptococcus pyogenes MGAS8232,186103,2002-04-03,2002,99.41,55.925564,,v1.2.3,,2025-01-27
GCF_000027345.1,ASM2734v1,Mycoplasmoides pneumoniae M129,272634,2002-12-06,2002,98.3,9.634551,,v1.2.3,,2025-01-27
GCA_000007045.1,ASM704v1,Streptococcus pneumoniae R6,171101,2002-11-25,2002,99.46,94.56478,0.31,v1.2.3,,2025-01-27
GCF_000007085.1,ASM708v1,Caldanaerobacter subterraneus subsp. tengcongensis MB4,273068,2002-05-14,2002,99.48,100.0,,v1.2.3,,2025-01-27
GCF_000008765.1,ASM876v1,Clostridium acetobutylicum ATCC 824,272562,2002-11-22,2002,97.69,55.555557,0.98,v1.2.2,,2025-01-27
GCA_000006985.1,ASM698v1,Chlorobaculum tepidum TLS,194439,2002-07-02,2002,85.69,100.0,6.06,v1.2.3,,2025-01-27
GCF_000007445.1,ASM744v1,Escherichia coli CFT073,199310,2002-12-06,2002,97.28,5.8170114,0.41,v1.2.2,,2025-01-27
GCA_000007325.1,ASM732v1,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,190304,2002-04-09,2002,,,,,,2025-01-27
