assembly_accession,assembly_name,organism_name,organism_taxonomic_id,assembly_release_date,assembly_release_year,checkm_completeness,checkm_completeness_percentile,checkm_contamination,checkm_version,checkm_marker_count,collection_date
GCA_000211275.1,ASM21127v1,Arabidopsis thaliana,3702,2004-11-05,2004,,,,,,2025-01-27
GCA_004295705.1,ASM429570v1,Oryza sativa Japonica Group,39947,2004-11-05,2004,,,,,,2025-01-27
GCF_000092065.1,ASM9206v1,Ostreococcus lucimarinus CCE9901,436017,2007-04-10,2007,,,,,,2025-01-27
GCF_000003745.3,12X,Vitis vinifera,29760,2009-12-07,2009,,,,,,2025-01-27
GCF_000090985.2,ASM9098v2,Micromonas commoda,296587,2009-04-10,2009,,,,,,2025-01-27
GCA_000210335.1,ASM21033v1,Triticum aestivum,4565,2010-07-15,2010,,,,,,2025-01-27
GCA_000184155.1,FraVesHawaii_1.0,Fragaria vesca subsp. vesca,101020,2010-12-22,2010,,,,,,2025-01-27
GCA_000148765.2,MalDomGD1.0,Malus domestica,3750,2010-11-18,2010,,,,,,2025-01-27
GCA_000218505.1,Eutrema_parvulum_v01,Schrenkiella parvula,98039,2011-06-21,2011,,,,,,2025-01-27
GCA_000004655.2,ASM465v1,Oryza sativa Indica Group,39946,2011-02-25,2011,,,,,,2025-01-27
GCF_000327365.2,Graimondii2_0v2,Gossypium raimondii,29730,2012-12-20,2012,,,,,,2025-01-27
GCA_000317415.1,Csi_valencia_1.0,Citrus sinensis,2711,2012-12-12,2012,,,,,,2025-01-27
GCA_002220235.1,ASM222023v1,Bathycoccus prasinos,41875,2012-11-22,2012,,,,,,2025-01-27
GCA_000313855.2,ASM31385v2,Musa acuminata subsp. malaccensis,214687,2012-11-14,2012,,,,,,2025-01-27
GCF_000442705.1,EG5,Elaeis guineensis,51953,2013-08-13,2013,,,,,,2025-01-27
GCA_000403535.1,Theobroma_cacao_20110822,Theobroma cacao,3641,2013-05-30,2013,,,,,,2025-01-27
GCF_000331145.1,ASM33114v1,Cicer arietinum,3827,2013-01-16,2013,,,,,,2025-01-27
GCA_000325905.2,TsV2-8,Eutrema salsugineum,72664,2013-02-11,2013,,,,,,2025-01-27
GCA_000510975.1,RefBeet-1.1.1,Beta vulgaris subsp. vulgaris,3555,2013-12-19,2013,,,,,,2025-01-27
GCA_000346735.1,P.mume_V1.0,Prunus mume,102107,2013-03-18,2013,,,,,,2025-01-27
GCA_000219495.2,MedtrA17_4.0,Medicago truncatula,3880,2014-06-18,2014,,,,,,2025-01-27
GCF_000512975.1,S_indicum_v1.0,Sesamum indicum,4182,2014-01-06,2014,,,,,,2025-01-27
GCA_900059795.1,AUK_PRJEB4211_v1,Coffea canephora,49390,2014-08-21,2014,,,,,,2025-01-27
GCA_000633955.1,Cs,Camelina sativa,90675,2014-04-24,2014,,,,,,2025-01-27
GCA_000733195.1,A_alpina_V4,Arabis alpina,50452,2014-08-12,2014,,,,,,2025-01-27
GCA_000214015.2,version 140606,Ostreococcus tauri,70448,2014-10-02,2014,,,,,,2025-01-27
GCA_000695525.1,BOL,Brassica oleracea var. oleracea,109376,2014-05-27,2014,,,,,,2025-01-27
GCA_900008105.1,V100,Solanum lycopersicum,4081,2014-07-11,2014,,,,,,2025-01-27
GCF_001406875.1,SPENNV200,Solanum pennellii,28526,2014-07-11,2014,,,,,,2025-01-27
GCA_000700045.1,O. rufipogon chromosome 3 short arm,Oryza rufipogon,4529,2014-06-11,2014,,,,,,2025-01-27
GCA_000710525.1,O. punctata chromosome 3 short arm,Oryza punctata,4537,2014-06-30,2014,,,,,,2025-01-27
GCA_000717455.1,O. officinalis chromosome 3 short arm,Oryza officinalis,4535,2014-07-03,2014,,,,,,2025-01-27
GCA_000632695.1,ASM63269v1,Oryza minuta,63629,2014-04-17,2014,,,,,,2025-01-27
GCA_000710545.1,O. brachyantha chromosome 3 short arm,Oryza brachyantha,4533,2014-06-30,2014,,,,,,2025-01-27
GCA_000325765.3,Lperr_V1.4,Leersia perrieri,77586,2014-02-21,2014,,,,,,2025-01-27
GCA_000710875.1,Pepper Zunla 1 Ref_v1.0,Capsicum annuum,4072,2015-03-11,2015,,,,,,2025-01-27
GCF_000987745.1,ASM98774v1,Gossypium hirsutum,3635,2015-05-05,2015,,,,,,2025-01-27
GCA_000950795.1,Pepper Chiltepin Ref_v1.0,Capsicum annuum var. glabriusculum,165789,2015-03-16,2015,,,,,,2025-01-27
GCA_000263155.2,Setaria_italica_v2.0,Setaria italica,4555,2015-10-30,2015,,,,,,2025-01-27
GCA_000612285.2,Gossypium_arboreum_v1.0,Gossypium arboreum,29729,2015-09-28,2015,,,,,,2025-01-27
GCA_001190045.1,Vigan1.1,Vigna angularis,3914,2015-07-31,2015,,,,,,2025-01-27
GCA_000741045.2,Vradiata_ver6,Vigna radiata var. radiata,3916,2015-10-28,2015,,,,,,2025-01-27
GCA_000826755.1,ZizJuj_1.1,Ziziphus jujuba,326968,2015-02-06,2015,,,,,,2025-01-27
GCA_004320505.1,Vangularis_v1,Vigna angularis var. angularis,157739,2015-12-17,2015,,,,,,2025-01-27
GCA_001310045.1,ASM131004v1,Carica papaya,3649,2015-10-09,2015,,,,,,2025-01-27
GCA_000340665.2,C.cajan_V1.1,Cajanus cajan,3821,2016-03-30,2016,,,,,,2025-01-27
GCA_001682895.1,ASM168289v1,Brassica nigra,3710,2016-07-12,2016,,,,,,2025-01-27
