assembly_accession,assembly_name,organism_name,organism_taxonomic_id,assembly_release_date,assembly_release_year,checkm_completeness,checkm_completeness_percentile,checkm_contamination,checkm_version,checkm_marker_count,collection_date
GCA_000091065.2,ASM9106v2,Saccharomyces cerevisiae,4932,2001-07-03,2001,,,,,,2025-01-27
GCF_000149385.1,ASM14938v1,Cryptococcus neoformans var. neoformans B-3501A,283643,2004-07-16,2004,,,,,,2025-01-27
GCA_000002525.1,ASM252v1,Yarrowia lipolytica CLIB122,284591,2004-07-02,2004,,,,,,2025-01-27
GCF_000002515.2,ASM251v1,Kluyveromyces lactis,28985,2004-07-02,2004,,,,,,2025-01-27
GCF_000002655.1,ASM265v1,Aspergillus fumigatus Af293,330879,2005-06-10,2005,,,,,,2025-01-27
GCF_000091045.1,ASM9104v1,Cryptococcus neoformans var. neoformans JEC21,214684,2005-01-07,2005,,,,,,2025-01-27
GCF_000209165.1,ASM20916v1,Scheffersomyces stipitis CBS 6054,322104,2007-02-26,2007,,,,,,2025-01-27
GCA_000002945.3,ASM294v3,Schizosaccharomyces pombe,4896,2007-11-09,2007,,,,,,2025-01-27
GCF_000240135.3,ASM24013v3,Fusarium graminearum PH-1,229533,2008-11-21,2008,,,,,,2025-01-27
GCA_000149555.1,ASM14955v1,Fusarium verticillioides 7600,334819,2008-11-21,2008,,,,,,2025-01-27
GCF_000002545.3,ASM254v2,Nakaseomyces glabratus,5478,2008-08-12,2008,,,,,,2025-01-27
GCA_000006445.2,ASM644v2,Debaryomyces hansenii CBS767,284592,2008-09-16,2008,,,,,,2025-01-27
GCF_000026945.1,ASM2694v1,Candida dubliniensis CD36,573826,2009-02-16,2009,,,,,,2025-01-27
GCA_000142805.1,ASM14280v1,Lachancea thermotolerans CBS 6340,559295,2009-06-05,2009,,,,,,2025-01-27
GCA_000027005.1,ASM2700v1,Komagataella phaffii GS115,644223,2009-05-25,2009,,,,,,2025-01-27
GCA_000149445.2,ASM14944v2,Candida albicans WO-1,294748,2009-06-03,2009,,,,,,2025-01-27
GCF_000011425.1,ASM1142v1,Aspergillus nidulans FGSC A4,227321,2009-09-24,2009,,,,,,2025-01-27
GCF_000026365.1,ASM2636v1,Zygosaccharomyces rouxii,4956,2009-06-05,2009,,,,,,2025-01-27
GCA_000091025.4,ASM9102v4,Eremothecium gossypii ATCC 10895,284811,2010-10-18,2010,,,,,,2025-01-27
GCF_000146465.1,ASM14646v1,Encephalitozoon intestinalis ATCC 50506,876142,2010-08-16,2010,,,,,,2025-01-27
GCA_000151485.1,ASM15148v1,Saccharomyces cerevisiae Sigma1278b,658763,2010-05-14,2010,,,,,,2025-01-27
GCA_000146045.2,R64,Saccharomyces cerevisiae S288C,559292,2011-04-18,2011,,,,,,2025-01-27
GCA_000260735.2,K7_1.0,Saccharomyces cerevisiae Kyokai no. 7,721032,2011-10-04,2011,,,,,,2025-01-27
GCA_000190255.1,ScFostersB_v01,Saccharomyces cerevisiae FostersB,764102,2011-02-25,2011,,,,,,2025-01-27
GCA_000315895.1,ASM31589v1,Millerozyma farinosa CBS 7064,559304,2011-11-10,2011,,,,,,2025-01-27
GCA_000149225.2,ASM14922v2,Lachancea kluyveri NRRL Y-12651,226302,2011-05-12,2011,,,,,,2025-01-27
GCF_000237345.1,ASM23734v1,Naumovozyma castellii,27288,2011-08-01,2011,,,,,,2025-01-27
GCF_000002495.2,MG8,Pyricularia oryzae 70-15,242507,2011-10-14,2011,,,,,,2025-01-27
GCA_000185945.1,ASM18594v1,Cryptococcus gattii WM276,367775,2011-01-12,2011,,,,,,2025-01-27
GCF_000184455.2,ASM18445v3,Aspergillus oryzae RIB40,510516,2011-06-24,2011,,,,,,2025-01-27
GCA_000235365.1,ASM23536v1,Eremothecium cymbalariae DBVPG#7215,931890,2011-11-14,2011,,,,,,2025-01-27
GCA_000190195.1,ScAWRI796_v01,Saccharomyces cerevisiae AWRI796,764097,2011-02-23,2011,,,,,,2025-01-27
GCA_000190215.1,ScVIN13_v01,Saccharomyces cerevisiae Vin13,764099,2011-02-25,2011,,,,,,2025-01-27
GCA_000223565.1,PicPas_Mar2011,Komagataella phaffii CBS 7435,981350,2011-04-06,2011,,,,,,2025-01-27
GCA_000219625.1,MYCGR v2.0,Zymoseptoria tritici IPO323,336722,2011-07-06,2011,,,,,,2025-01-27
GCA_000243375.1,ASM24337v1,Torulaspora delbrueckii,4950,2011-12-08,2011,,,,,,2025-01-27
GCA_000226115.1,ASM22611v1,Thermothielavioides terrestris NRRL 8126,578455,2011-09-16,2011,,,,,,2025-01-27
GCA_000190235.1,ScVL3_v01,Saccharomyces cerevisiae VL3,764100,2011-02-25,2011,,,,,,2025-01-27
GCF_000226095.1,ASM22609v1,Thermothelomyces thermophilus ATCC 42464,573729,2011-09-16,2011,,,,,,2025-01-27
GCA_000236905.1,ASM23690v1,Tetrapisispora phaffii CBS 4417,1071381,2011-11-17,2011,,,,,,2025-01-27
GCA_000230245.1,ASM23024v1,Sporisorium reilianum SRZ2,999809,2011-08-11,2011,,,,,,2025-01-27
GCF_000227115.2,ASM22711v2,Naumovozyma dairenensis CBS 421,1071378,2012-08-20,2012,,,,,,2025-01-27
GCF_000304475.1,Ka_CBS2517,Kazachstania africana CBS 2517,1071382,2012-01-17,2012,,,,,,2025-01-27
GCA_000348985.1,ASM34898v1,Huiozyma naganishii CBS 8797,1071383,2012-09-05,2012,,,,,,2025-01-27
GCA_000292725.1,SacArb1.0,Saccharomyces arboricola H-6,1160507,2012-09-11,2012,,,,,,2025-01-27
GCA_000968835.1,ASM96883v1,Eremothecium gossypii FDAG1,1034331,2012-01-27,2012,,,,,,2025-01-27
GCF_000277815.2,ASM27781v3,Encephalitozoon hellem ATCC 50504,907965,2012-07-16,2012,,,,,,2025-01-27
GCA_000315915.1,ASM31591v1,Henningerozyma blattae CBS 6284,1071380,2012-05-11,2012,,,,,,2025-01-27
GCA_000328385.1,Cuti_1.0,Cyberlindnera jadinii NBRC 0988,1128122,2012-06-07,2012,,,,,,2025-01-27
GCA_000269885.1,ASM26988v1,Saccharomyces cerevisiae CEN.PK113-7D,889517,2012-06-19,2012,,,,,,2025-01-27
GCF_000280035.1,ASM28003v2,Encephalitozoon romaleae SJ-2008,1178016,2012-07-19,2012,,,,,,2025-01-27
GCA_000315875.1,ASM31587v1,Candida orthopsilosis Co 90-125,1136231,2012-03-14,2012,,,,,,2025-01-27
GCA_000187245.3,Hansenula_2,Ogataea parapolymorpha DL-1,871575,2013-12-20,2013,,,,,,2025-01-27
GCA_000292815.1,ASM29281v1,Saccharomyces cerevisiae W303,580240,2013-02-28,2013,,,,,,2025-01-27
GCA_000182925.2,NC12,Neurospora crassa OR74A,367110,2013-10-25,2013,,,,,,2025-01-27
GCF_900079805.1,Fusarium_fujikuroi_IMI58289_V2,Fusarium fujikuroi IMI 58289,1279085,2013-08-20,2013,,,,,,2025-01-27
GCA_000275665.1,YJSH1_1.0,Saccharomyces cerevisiae YJSH1,1087981,2013-11-12,2013,,,,,,2025-01-27
GCA_001417835.1,KM1777_03,Kluyveromyces marxianus,4911,2014-10-03,2014,,,,,,2025-01-27
GCF_000149245.1,CNA3,Cryptococcus neoformans var. grubii H99,235443,2014-02-07,2014,,,,,,2025-01-27
GCA_000734875.3,ASM73487v3,Saccharomyces boulardii (nom. inval.),252598,2014-11-21,2014,,,,,,2025-01-27
GCA_000633125.1,Fv1.0,Flammulina velutipes KACC42780,1300067,2014-04-21,2014,,,,,,2025-01-27
GCF_001417885.1,Kmar_1.0,Kluyveromyces marxianus DMKU3-1042,1003335,2014-01-14,2014,,,,,,2025-01-27
GCA_000599445.1,CS3005v1,Fusarium graminearum,5518,2014-03-25,2014,,,,,,2025-01-27
GCA_000710275.1,ASM71027v1,Penicillium chrysogenum,5076,2014-06-23,2014,,,,,,2025-01-27
GCA_000412225.2,ASM41222v2,[Ashbya] aceris (nom. inval.),566037,2014-06-05,2014,,,,,,2025-01-27
GCA_000568295.1,P283,Saccharomyces cerevisiae P283,1177187,2014-02-18,2014,,,,,,2025-01-27
GCA_000613145.2,YALI0,Yarrowia lipolytica WSH-Z06,1437815,2014-07-04,2014,,,,,,2025-01-27
GCA_000590845.2,PO1f_A5_AB_scf,Yarrowia lipolytica PO1f,1445506,2014-06-03,2014,,,,,,2025-01-27
GCA_000733235.3,ASM73323v3,Saccharomyces cerevisiae UFMG A-905,1434269,2014-11-21,2014,,,,,,2025-01-27
GCA_000568365.1,R103,Saccharomyces cerevisiae R103,1182967,2014-02-26,2014,,,,,,2025-01-27
GCA_000400815.2,VDAG_JR2v.4.0,Verticillium dahliae JR2,1202531,2014-08-29,2014,,,,,,2025-01-27
GCA_000568005.1,R008,Saccharomyces cerevisiae R008,1182966,2014-02-26,2014,,,,,,2025-01-27
GCA_000568055.1,p301,Saccharomyces cerevisiae P301,1182968,2014-02-26,2014,,,,,,2025-01-27
GCA_000143535.4,ASM14353v4,Botrytis cinerea B05.10,332648,2015-02-05,2015,,,,,,2025-01-27
GCF_001298625.1,SEUB3.0,Saccharomyces eubayanus,1080349,2015-11-04,2015,,,,,,2025-01-27
GCA_000149955.2,ASM14995v2,Fusarium oxysporum f. sp. lycopersici 4287,426428,2015-08-20,2015,,,,,,2025-01-27
GCF_000328475.2,Umaydis521_2.0,Mycosarcoma maydis,5270,2015-02-18,2015,,,,,,2025-01-27
GCF_000303195.2,FP7,Fusarium pseudograminearum CS3096,1028729,2015-04-15,2015,,,,,,2025-01-27
GCA_001010845.1,ASM101084v1,Sporisorium scitamineum,49012,2015-05-20,2015,,,,,,2025-01-27
GCA_000952015.1,ASM95201v1,Verticillium dahliae VdLs.17,498257,2015-03-13,2015,,,,,,2025-01-27
GCA_000818155.1,ASM81815v1,Valsa mali,105487,2015-01-20,2015,,,,,,2025-01-27
GCA_000977505.2,Sc_YJM1388_v1,Saccharomyces cerevisiae YJM1388,1294360,2016-12-15,2016,,,,,,2025-01-27
